vehicle_id,rear_left_x_start,rear_left_y_start,rear_right_x_start,rear_right_y_start,front_left_x_start,front_left_y_start,front_right_x_start,front_right_y_start,rear_left_x_end,rear_left_y_end,rear_right_x_end,rear_right_y_end,front_left_x_end,front_left_y_end,front_right_x_end,front_right_y_end
1,1105,620,1135,620,1105,596,1135,596,1105,620,1135,620,1105,596,1135,596
2,1349,406,1372,406,1349,362,1372,362,1349,406,1372,406,1349,362,1372,362
3,1899,1293,1925,1293,1899,1263,1925,1263,1899,1293,1925,1293,1899,1263,1925,1263
4,1368,446,1378,446,1368,425,1378,425,1368,446,1378,446,1368,425,1378,425
5,1151,734,1179,734,1151,715,1179,715,1151,734,1179,734,1151,715,1179,715
6,1371,533,1388,533,1371,509,1388,509,1371,533,1388,533,1371,509,1388,509
7,1348,253,1358,253,1348,225,1358,225,1348,253,1358,253,1348,225,1358,225
8,1233,878,1250,878,1233,859,1250,859,1233,878,1250,878,1233,859,1250,859
9,955,656,988,656,955,629,988,629,955,656,988,656,955,629,988,629
10,1369,781,1387,781,1369,738,1387,738,1369,781,1387,781,1369,738,1387,738
